_id,numberShort,uicCountryCode,sloid,number,checkDigit,validFrom,validTo,designationOfficial,designationLong,abbreviation,operatingPoint,operatingPointWithTimetable,stopPoint,stopPointType,freightServicePoint,trafficPoint,borderPoint,hasGeolocation,isoCountryCode,cantonName,cantonFsoNumber,cantonAbbreviation,districtName,districtFsoNumber,municipalityName,fsoNumber,localityName,operatingPointType,operatingPointTechnicalTimetableType,meansOfTransport,categories,operatingPointTrafficPointType,operatingPointRouteNetwork,operatingPointKilometer,operatingPointKilometerMasterNumber,sortCodeOfDestinationStation,businessOrganisation,businessOrganisationNumber,businessOrganisationAbbreviationDe,businessOrganisationAbbreviationFr,businessOrganisationAbbreviationIt,businessOrganisationAbbreviationEn,businessOrganisationDescriptionDe,businessOrganisationDescriptionFr,businessOrganisationDescriptionIt,businessOrganisationDescriptionEn,fotComment,lv95East,lv95North,wgs84East,wgs84North,height,creationDate,editionDate,status
12634,100,85,ch:1:sloid:100,8500100,8,2021-04-01,9999-12-31,Tavannes,,TA,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Jura bernois,241,Tavannes,713,Tavannes,,,TRAIN,PARK_AND_RAIL,,true,true,8500100,01008,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2582049.837,1229906.622,7.20164538962,47.21984466031,754.17,2017-11-09 20:57:04,2024-04-08 09:26:06,VALIDATED
12635,121,85,ch:1:sloid:121,8500121,4,2021-04-01,9999-12-31,Courfaivre,,CFV,true,true,true,ORDERLY,true,true,false,true,CH,Jura,26,JU,Delémont,2601,Haute-Sorne,6729,Courfaivre,,,TRAIN,,,true,true,8500121,00121,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2588854.779,1242701.98,7.29116574222,47.33508312532,450.99,2017-11-09 20:57:48,2024-04-08 09:26:06,VALIDATED
12636,103,85,ch:1:sloid:103,8500103,2,2022-05-13,9999-12-31,Sorvilier,,SOR,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Jura bernois,241,Sorvilier,711,Sorvilier,,,TRAIN,,,true,true,8500103,,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2589942.2096,1232056.8976,7.30579360416,47.23935383043,681.07,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
12639,120,85,ch:1:sloid:120,8500120,6,2021-04-01,9999-12-31,Courtételle,,CTT,true,true,true,ORDERLY,true,true,false,true,CH,Jura,26,JU,Delémont,2601,Courtételle,6710,Courtételle,,,TRAIN,PARK_AND_RAIL,,true,true,8500120,01206,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2590879.959,1243559.687,7.31794276824,47.34282900859,436.9,2017-11-09 20:57:46,2024-04-08 09:26:06,VALIDATED
12640,102,85,ch:1:sloid:102,8500102,4,2021-04-01,9999-12-31,Malleray-Bévilard,,MB,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Jura bernois,241,Valbirse,717,Malleray,,,TRAIN,,,true,true,8500102,,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2587682.108,1231990.071,7.2759462665,47.23871419185,698.18,2017-11-09 20:57:10,2024-04-08 09:26:06,VALIDATED
12642,123,85,ch:1:sloid:123,8500123,0,2021-04-01,9999-12-31,Glovelier,,GLO,true,true,true,ORDERLY,true,true,false,true,CH,Jura,26,JU,Delémont,2601,Haute-Sorne,6729,Glovelier,,,TRAIN,PARK_AND_RAIL,,true,true,8500123,01230,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2582668.271,1242730.974,7.20931276817,47.33520951994,504.99,2017-11-09 20:57:51,2024-04-08 09:26:06,VALIDATED
12643,141,85,ch:1:sloid:141,8500141,2,2021-04-01,9999-12-31,Courchavon,,CCH,true,true,true,ORDERLY,false,true,false,true,CH,Jura,26,JU,Porrentruy,2603,Courchavon,6783,Courchavon,,,TRAIN,,,true,true,8500141,,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2571261.824,1254401.376,7.05764595582,47.4397743973,405.84,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
12645,122,85,ch:1:sloid:122,8500122,2,2021-04-01,9999-12-31,Bassecourt,,BSC,true,true,true,ORDERLY,true,true,false,true,CH,Jura,26,JU,Delémont,2601,Haute-Sorne,6729,Bassecourt,,,TRAIN,,,true,true,8500122,01222,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2585505.492,1242887.574,7.24684623351,47.33668687681,477.81,2017-11-09 20:57:49,2024-04-08 09:26:06,VALIDATED
12646,125,85,ch:1:sloid:125,8500125,5,2021-04-01,9999-12-31,Courgenay,,CG,true,true,true,ORDERLY,true,true,false,true,CH,Jura,26,JU,Porrentruy,2603,Courgenay,6784,Courgenay,,,TRAIN,PARK_AND_RAIL,,true,true,8500125,01255,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2576267.074,1250537.88,7.12420504386,47.40522617646,488.09,2017-11-09 20:57:56,2024-04-08 09:26:06,VALIDATED
12647,104,85,ch:1:sloid:104,8500104,0,2021-04-01,9999-12-31,Court,,CT,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Jura bernois,241,Court,690,Court,,,TRAIN,,,true,true,8500104,01040,ch:1:sboid:100001,11,SBB,CFF,FFS,SBB,Schweizerische Bundesbahnen SBB,Chemins de fer fédéraux suisses CFF,Ferrovie federali svizzere FFS,Swiss Federal Railways SBB,,2592692.146,1232191.49,7.34210987773,47.24060091564,665.7,2017-11-09 20:57:12,2024-04-08 09:26:06,VALIDATED
