"country","name","url","lon","lat","h3","population"
"FR","Abancourt","https://www.garesetconnexions.sncf/fr/gares-services/abancourt/horaires#main-content",1.7743058,49.6852237,613047315445317631,101
"IT","Abano Terme","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=364&arrivals=False",11.8115,45.3553,613028349410803711,177
"IT","Abbadia Lariana","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=365&arrivals=False",9.33511,45.8958,613045462124986367,1668
"FR","Abbaretz","https://www.garesetconnexions.sncf/fr/gares-services/abbaretz/horaires#main-content",-1.5244159000000002,47.5546432,612918577204297727,183
"IT","Abbasanta","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=366&arrivals=False",8.816053,40.126767,613027658717986815,234
"FR","Abbeville","https://www.garesetconnexions.sncf/fr/gares-services/abbeville/horaires#main-content",1.82449,50.10221,612934391223549951,1318
"GB","Abbey Wood","https://www.realtimetrains.co.uk/search/simple/gb-nr:ABW",0.120343,51.490719,612934743450714111,5818
"IT","Abbiategrasso","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=367&arrivals=False",8.92041,45.3976,613045362877267967,6479
"GB","Aber","https://www.realtimetrains.co.uk/search/simple/gb-nr:ABE",-3.23089,51.575363,612935587676028927,2085
"GB","Abercynon","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACY",-3.329549,51.64262,612935422206541823,2060
"GB","Aberdare","https://www.realtimetrains.co.uk/search/simple/gb-nr:ABA",-3.44313,51.715019,612935421042622463,600
"GB","Aberdeen","https://www.realtimetrains.co.uk/search/simple/gb-nr:ABD",-2.097464,57.143127,612937513117417471,2487
"GB","Aberdour","https://www.realtimetrains.co.uk/search/simple/gb-nr:AUR",-3.300575,56.054646,612937191485603839,535
"GB","Aberdovey","https://www.realtimetrains.co.uk/search/simple/gb-nr:AVY",-4.057118,52.543934,612935832417861631,300
"GB","Abererch","https://www.realtimetrains.co.uk/search/simple/gb-nr:ABH",-4.37423,52.898567,612935067355840511,4
"GB","Abergavenny","https://www.realtimetrains.co.uk/search/simple/gb-nr:AGV",-3.009679,51.81665,612935424135921663,1127
"GB","Abergele & Pensarn","https://www.realtimetrains.co.uk/search/simple/gb-nr:AGL",-3.581343,53.294758,612934953188982783,1146
"GB","Aberystwyth","https://www.realtimetrains.co.uk/search/simple/gb-nr:AYW",-4.081946,52.414017,612935843973169151,3239
"FR","Ablon-sur-Seine","https://www.garesetconnexions.sncf/fr/gares-services/ablon-seine/horaires#main-content",2.419151,48.725468,613047043398565887,3663
"IT","Acate","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=368&arrivals=False",14.42543,36.996652,613601441289863167,76
"IT","Acciano","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=369&arrivals=False",13.71112,42.176344,613026238212079615,0
"GB","Accrington","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACR",-2.370016,53.753193,612933909706964991,2551
"IT","Acerra","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=370&arrivals=False",14.372879,40.939797,613026329866010623,9100
"GB","Achanalt","https://www.realtimetrains.co.uk/search/simple/gb-nr:AAT",-4.914243,57.609921,612930225323376639,3
"FR","Acheux - Franleu","https://www.garesetconnexions.sncf/fr/gares-services/acheux-franleu/horaires#main-content",\N,\N,\N,0
"FR","Achiet-le-Grand","https://www.garesetconnexions.sncf/fr/gares-services/achiet-grand/horaires#main-content",2.7801679999999998,50.1317525,612934375929020415,359
"GB","Achnasheen","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACN",-5.072421,57.579205,612930225107369983,6
"GB","Achnashellach","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACH",-5.333001,57.482697,612930188015042559,4
"FR","Achères Grand Cormier","https://www.garesetconnexions.sncf/fr/gares-services/acheres-grand-cormier/horaires#main-content",2.0919031,48.9551835,613047307371282431,682
"FR","Achères Ville","https://www.garesetconnexions.sncf/fr/gares-services/acheres-ville/horaires#main-content",2.07739,48.97011,613047307440488447,1005
"IT","Acireale","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=371&arrivals=False",15.161736,37.595783,613601536515244031,161
"GB","Acklington","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACK",-1.651816,55.307129,612937262314815487,6
"GB","Acle","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACL",1.543981,52.634647,612933866247684095,265
"GB","Acocks Green","https://www.realtimetrains.co.uk/search/simple/gb-nr:ACG",-1.81898,52.449291,612935689425649663,3994
"IT","Acqua Acetosa","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=372&arrivals=False",12.617142,41.793727,613026128849797119,1956
"IT","Acquafredda","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=1&arrivals=False",15.672432,40.034808,613026815937609727,184
