placeid,name,norm,trainline,joinkey,latitude,longitude
364,ABANO TERME,ABANO TERME,ABANO,ABANO,45.3553,11.8115
365,ABBADIA LARIANA,ABBADIA LARIANA,,ABBADIA LARIANA,45.8958,9.33511
366,ABBASANTA,ABBASANTA,,ABBASANTA,40.126767,8.816053
367,ABBIATEGRASSO,ABBIATEGRASSO,,ABBIATEGRASSO,45.3976,8.92041
368,ACATE,ACATE,,ACATE,36.996652,14.42543
369,ACCIANO,ACCIANO,,ACCIANO,42.176344,13.71112
370,ACERRA,ACERRA,,ACERRA,40.939797,14.372879
371,ACIREALE,ACIREALE,,ACIREALE,37.595783,15.161736
372,ACQUA ACETOSA,ACQUA ACETOSA,,ACQUA ACETOSA,41.793727,12.617142
1,ACQUAFREDDA,ACQUAFREDDA,,ACQUAFREDDA,40.034808,15.672432
374,ACQUANEGRA CREMONESE,ACQUANEGRA CREMONESE,,ACQUANEGRA CREMONESE,45.172,9.88856
2,ACQUAPPESA,ACQUAPPESA,,ACQUAPPESA,39.486439,15.955969
5453,ACQUASPARTA,ACQUASPARTA,,ACQUASPARTA,42.6883,12.5498
377,ACQUAVIVA DELLE FONTI,ACQUAVIVA DELLE FONTI,,ACQUAVIVA DELLE FONTI,40.8929,16.8399
376,ACQUAVIVA CASTELTERMINI,ACQUAVIVA CASTELTERMINI,,ACQUAVIVA CASTELTERMINI,37.570415,13.674804
2499,ACQUEDOLCI-S.FRATELLO,ACQUEDOLCI SAN FRATELLO,,ACQUEDOLCI SAN FRATELLO,38.058056,14.5875
188,ACQUI TERME,ACQUI TERME,,ACQUI TERME,44.67228,8.473663
378,ADRIA,ADRIA,,ADRIA,45.060533,12.054148
4,AFRICO NUOVO,AFRICO NUOVO,,AFRICO NUOVO,38.052704,16.143925
379,AGLIANO CASTELNUOVO CALCEA,AGLIANO CASTELNUOVO CALCEA,,AGLIANO CASTELNUOVO CALCEA,44.7861,8.26778
383,AGRIGENTO BASSA,AGRIGENTO BASSA,,AGRIGENTO BASSA,37.319131,13.588031
384,AGRIGENTO CENTRALE,AGRIGENTO CENTRALE,,AGRIGENTO CENTRALE,37.309063,13.584417
5,AGROPOLI CASTELLABATE,AGROPOLI CASTELLABATE,,AGROPOLI CASTELLABATE,40.351534,15.001755
387,AIRASCA,AIRASCA,,AIRASCA,44.928077,7.483348
189,AIROLE,AIROLE,,AIROLE,43.8705,7.55285
388,AIRUNO,AIRUNO,,AIRUNO,45.7555,9.4222
389,ALA,ALA,,ALA,45.7591,10.996496
390,ALANNO,ALANNO,,ALANNO,42.287172,14.019684
391,ALANO FENER VALDOBBIADENE,ALANO FENER VALDOBBIADENE,,ALANO FENER VALDOBBIADENE,45.90257,11.944551
190,ALASSIO,ALASSIO,,ALASSIO,44.007932,8.171383
392,ALBA,ALBA,,ALBA,44.697755,8.030854
393,ALBA ADRIATICA-NERETO-CONTROGUERRA,ALBA ADRIATICA NERETO CONTROGUERRA,,ALBA ADRIATICA NERETO CONTROGUERRA,42.834228,13.917216
394,ALBACINA,ALBACINA,,ALBACINA,43.345589,12.986302
779,ALBAIRATE-VERMEZZO,ALBAIRATE VERMEZZO,ALBAIRATE,ALBAIRATE,45.404476,8.958192
396,ALBANO LAZIALE,ALBANO LAZIALE,,ALBANO LAZIALE,41.726425,12.657899
397,ALBANO S.ALESSANDRO,ALBANO SAN ALESSANDRO,ALBANO SANT ALESSANDRO,ALBANO SANT ALESSANDRO,45.683,9.76758
395,ALBANO DI LUCANIA,ALBANO DI LUCANIA,,ALBANO DI LUCANIA,40.574691,16.021321
398,ALBANOVA,ALBANOVA,,ALBANOVA,40.996195,14.128768
399,ALBAREDO,ALBAREDO,,ALBAREDO,45.670262,12.014442
401,ALBATE-TRECALLO,ALBATE TRECALLO,,ALBATE TRECALLO,45.7775,9.095556
191,ALBENGA,ALBENGA,,ALBENGA,44.047305,8.221552
404,ALBINIA,ALBINIA,,ALBINIA,42.502302,11.211364
192,ALBISOLA,ALBISOLA,,ALBISOLA,44.334636,8.511652
405,ALBIZZATE SOLBIATE ARNO,ALBIZZATE SOLBIATE ARNO,,ALBIZZATE SOLBIATE ARNO,45.7233,8.80613
406,ALBONESE,ALBONESE,,ALBONESE,45.297911,8.714655
407,ALBUZZANO,ALBUZZANO,,ALBUZZANO,45.1726,9.26165
409,ALCAMO DIRAMAZIONE,ALCAMO DIRAMAZIONE,,ALCAMO DIRAMAZIONE,37.978939,12.915871
410,ALCANTARA,ALCANTARA,,ALCANTARA,37.821448,15.251152
193,ALESSANDRIA,ALESSANDRIA,,ALESSANDRIA,44.908606,8.606847
411,ALFEDENA-SCONTRONE,ALFEDENA SCONTRONE,,ALFEDENA SCONTRONE,41.738524,14.044683
412,ALFONSINE,ALFONSINE,,ALFONSINE,44.511714,12.039954
413,ALI' TERME,ALI TERME,,ALI TERME,38.005151,15.423583
414,ALICE BELCOLLE,ALICE BELCOLLE,,ALICE BELCOLLE,44.722619,8.43999
415,ALLERONA-CASTEL VISCARDO,ALLERONA CASTEL VISCARDO,,ALLERONA CASTEL VISCARDO,42.784761,12.035836
416,ALPIGNANO,ALPIGNANO,,ALPIGNANO,45.090818,7.523
418,ALTAMURA,ALTAMURA,,ALTAMURA,40.837697,16.551765
196,ALTARE,ALTARE,,ALTARE,44.336227,8.332604
419,ALTAVILLA IRPINA,ALTAVILLA IRPINA,,ALTAVILLA IRPINA,41.015108,14.784954
420,ALTAVILLA MILICIA,ALTAVILLA MILICIA,,ALTAVILLA MILICIA,38.048291,13.554402
421,ALTAVILLA TAVERNELLE,ALTAVILLA TAVERNELLE,,ALTAVILLA TAVERNELLE,45.511,11.453533
422,ALTOPASCIO,ALTOPASCIO,,ALTOPASCIO,43.81737,10.672532
423,ALVIANO,ALVIANO,,ALVIANO,42.591789,12.259623
8,AMANTEA,AMANTEA,,AMANTEA,39.134799,16.068254
424,AMBIVERE MAPELLO,AMBIVERE MAPELLO,,AMBIVERE MAPELLO,45.7222,9.55026
9,AMENDOLARA ORIOLO,AMENDOLARA ORIOLO,,AMENDOLARA ORIOLO,39.93385,16.602941
427,AMOROSI MELIZZANO,AMOROSI MELIZZANO,,AMOROSI MELIZZANO,41.192798,14.479257
428,ANAGNI-FIUGGI,ANAGNI FIUGGI,,ANAGNI FIUGGI,41.710316,13.095988
429,ANCONA,ANCONA,,ANCONA,43.607597,13.497797
1096,ANCONA STADIO,ANCONA STADIO,,ANCONA STADIO,43.566339,13.520671
3473,ANCONA TORRETTE,ANCONA TORRETTE,,ANCONA TORRETTE,43.610141,13.455611
3365,ANCONETTA,ANCONETTA,,ANCONETTA,45.565808,11.567921
431,ANGRI,ANGRI,,ANGRI,40.746304,14.575343
432,ANGUILLARA,ANGUILLARA,,ANGUILLARA,42.067305,12.294168
3466,ANNONE VENETO,ANNONE VENETO,,ANNONE VENETO,45.774996,12.680102
1310,ANNA',ANNA,,ANNA,37.925717,15.748215
434,ANTIGNANO,ANTIGNANO,,ANTIGNANO,43.495349,10.329225
436,ANTRODOCO CENTRO,ANTRODOCO CENTRO,,ANTRODOCO CENTRO,42.421767,13.081776
435,ANTRODOCO BORGO VELINO,ANTRODOCO BORGO VELINO,,ANTRODOCO BORGO VELINO,42.409983,13.071196
437,ANVERSA-VILLALAGO-SCANNO,ANVERSA VILLALAGO SCANNO,,ANVERSA VILLALAGO SCANNO,42.017558,13.835729
438,ANZANO DEL PARCO,ANZANO DEL PARCO,,ANZANO DEL PARCO,45.7651,9.20272
439,ANZIO,ANZIO,,ANZIO,41.45211,12.629331
441,ANZOLA DELL'EMILIA,ANZOLA DELL EMILIA,,ANZOLA DELL EMILIA,44.551528,11.196037
442,AOSTA,AOSTA,,AOSTA,45.734202,7.322433
3501,AOSTA ISTITUTO,AOSTA ISTITUTO,,AOSTA ISTITUTO,45.731757,7.30698
3502,AOSTA VIALE EUROPA,AOSTA VIALE EUROPA,,AOSTA VIALE EUROPA,45.73245,7.296058
